"word","lang"
"contrast","en"
"contribute","en"
"contribution","en"
"control","en"
"controversial","en"
"controversy","en"
"convention","en"
"conventional","en"
"conversation","en"
"convert","en"
"conviction","en"
"convince","en"
"cook","en"
"cookie","en"
"cooking","en"
"cool","en"
"cooperation","en"
"cope","en"
"copy","en"
"core","en"
"corn","en"
"corner","en"
"corporate","en"
"corporation","en"
"correct","en"
"correspondent","en"
"cost","en"
"cotton","en"
"couch","en"
"could","en"
"council","en"
"counselor","en"
"count","en"
"counter","en"
"country","en"
"county","en"
"couple","en"
"courage","en"
"course","en"
"court","en"
"cousin","en"
"cover","en"
"coverage","en"
"crack","en"
"craft","en"
"crash","en"
"crazy","en"
"cream","en"
"create","en"
"creation","en"
"creative","en"
"creature","en"
"credit","en"
"crew","en"
"crime","en"
"criminal","en"
"crisis","en"
"criteria","en"
"critic","en"
"critical","en"
"criticism","en"
"criticize","en"
"crop","en"
"cross","en"
"crowd","en"
"crucial","en"
"cultural","en"
"culture","en"
"curious","en"
"current","en"
"currently","en"
"curriculum","en"
"custom","en"
"customer","en"
"cycle","en"
"daily","en"
"damage","en"
"dance","en"
"danger","en"
"dangerous","en"
"dare","en"
"dark","en"
"darkness","en"
"data","en"
"date","en"
"daughter","en"
"dead","en"
"deal","en"
"dealer","en"
"dear","en"
"death","en"
"debate","en"
"debt","en"
"decade","en"
"decide","en"
"decision","en"
"deck","en"
"declare","en"
"decline","en"
"decrease","en"
"deep","en"
"deeply","en"
"deer","en"
"defeat","en"
"defend","en"
"defendant","en"
"defense","en"
"defensive","en"
"deficit","en"
"define","en"
"definitely","en"
"definition","en"
"degree","en"
"delay","en"
"deliver","en"
"delivery","en"
"demand","en"
"democracy","en"
"Democrat","en"
"democratic","en"
"demonstrate","en"
"demonstration","en"
"deny","en"
"department","en"
"depend","en"
"dependent","en"
"depending","en"
"depict","en"
"depression","en"
"depth","en"
"deputy","en"
"derive","en"
"describe","en"
"description","en"
"desert","en"
"deserve","en"
"design","en"
"designer","en"
"desire","en"
"desk","en"
"desperate","en"
"despite","en"
"destroy","en"
"destruction","en"
"detail","en"
"detailed","en"
"detect","en"
"determine","en"
"develop","en"
"developing","en"
"development","en"
"device","en"
"devote","en"
"dialogue","en"
"diet","en"
"differ","en"
"difference","en"
"different","en"
"differently","en"
"difficult","en"
"difficulty","en"
"digital","en"
"dimension","en"
"dining","en"
"dinner","en"
"direct","en"
"direction","en"
"directly","en"
"director","en"
"dirt","en"
"dirty","en"
"disability","en"
"disagree","en"
"disappear","en"
"disaster","en"
"discipline","en"
"discourse","en"
"discover","en"
"discovery","en"
"discrimination","en"
"discuss","en"
"discussion","en"
"disease","en"
"dish","en"
"dismiss","en"
"disorder","en"
"display","en"
"dispute","en"
"distance","en"
"distant","en"
"distinct","en"
"distinction","en"
"distinguish","en"
"distribute","en"
"distribution","en"
"district","en"
"diverse","en"
"diversity","en"
"divide","en"
"division","en"
"divorce","en"
"doctor","en"
"document","en"
"domestic","en"
"dominant","en"
"dominate","en"
"door","en"
"double","en"
"doubt","en"
"down","en"
"downtown","en"
"dozen","en"
"draft","en"
"drag","en"
"drama","en"
"dramatic","en"
"dramatically","en"
"draw","en"
"drawing","en"
"dream","en"
"dress","en"
"drink","en"
"drive","en"
"driver","en"
"drop","en"
"drug","en"
"during","en"
"dust","en"
"duty","en"
"each","en"
"eager","en"
"early","en"
"earn","en"
"earnings","en"
"earth","en"
"ease","en"
"easily","en"
"east","en"
"eastern","en"
"easy","en"
"economic","en"
"economics","en"
"economist","en"
"economy","en"
"edge","en"
"edition","en"
"editor","en"
"educate","en"
"education","en"
"educational","en"
"educator","en"
"effect","en"
"effective","en"
"effectively","en"
"efficiency","en"
"efficient","en"
"effort","en"
"eight","en"
"either","en"
"elderly","en"
"elect","en"
"election","en"
"electric","en"
"electricity","en"
"electronic","en"
"element","en"
"elementary","en"
"eliminate","en"
"elite","en"
"else","en"
"elsewhere","en"
"e-mail","en"
"embrace","en"
"emerge","en"
"emergency","en"
"emission","en"
"emotion","en"
"emotional","en"
"emphasis","en"
"emphasize","en"
"employ","en"
"employee","en"
"employer","en"
"employment","en"
"empty","en"
"enable","en"
"encounter","en"
"encourage","en"
"enemy","en"
"energy","en"
"enforcement","en"
"engage","en"
"engine","en"
"engineer","en"
"engineering","en"
"English","en"
"enhance","en"
"enjoy","en"
"enormous","en"
"enough","en"
"ensure","en"
"enter","en"
"enterprise","en"
"entertainment","en"
"entire","en"
"entirely","en"
"entrance","en"
"entry","en"
"environment","en"
"environmental","en"
"episode","en"
"equal","en"
"equally","en"
"equipment","en"
"error","en"
"escape","en"
"especially","en"
"essay","en"
"essential","en"
"essentially","en"
"establish","en"
"establishment","en"
"estate","en"
"estimate","en"
"ethics","en"
"ethnic","en"
"European","en"
"evaluate","en"
"evaluation","en"
"even","en"
"evening","en"
"event","en"
"eventually","en"
"ever","en"
"every","en"
"everybody","en"
"everyday","en"
"everyone","en"
"everything","en"
"everywhere","en"
"evidence","en"
"evolution","en"
"evolve","en"
"exact","en"
"exactly","en"
"examination","en"
"examine","en"
"example","en"
"exceed","en"
"excellent","en"
"except","en"
"exception","en"
"exchange","en"
"exciting","en"
"executive","en"
"exercise","en"
"exhibit","en"
"exhibition","en"
"exist","en"
"existence","en"
"existing","en"
"expand","en"
"expansion","en"
"expect","en"
"expectation","en"
"expense","en"
"expensive","en"
"experience","en"
"experiment","en"
"expert","en"
"explain","en"
"explanation","en"
"explode","en"
"explore","en"
"explosion","en"
"expose","en"
"exposure","en"
"express","en"
"expression","en"
"extend","en"
"extension","en"
"extensive","en"
"extent","en"
"external","en"
"extra","en"
"extraordinary","en"
"extreme","en"
"extremely","en"
"fabric","en"
"face","en"
"facility","en"
"fact","en"
"factor","en"
"factory","en"
"faculty","en"
"fade","en"
"fail","en"
"failure","en"
"fair","en"
"fairly","en"
"faith","en"
"fall","en"
"false","en"
"familiar","en"
"family","en"
"famous","en"
"fantasy","en"
"farm","en"
"farmer","en"
"fashion","en"
"fast","en"
"fate","en"
"father","en"
"fault","en"
"favor","en"
"favorite","en"
"fear","en"
"feature","en"
"federal","en"
"feed","en"
"feel","en"
"feeling","en"
"fellow","en"
"female","en"
"fence","en"
"fewer","en"
"fiber","en"
"fiction","en"
"field","en"
"fifteen","en"
"fifth","en"
"fifty","en"
"fight","en"
"fighter","en"
"fighting","en"
"figure","en"
"file","en"
"fill","en"
"film","en"
"final","en"
"finally","en"
"finance","en"
"financial","en"
"find","en"
"finding","en"
"fine","en"
"finger","en"
"finish","en"
"fire","en"
"firm","en"
"first","en"
"fish","en"
"fishing","en"
"fitness","en"
"five","en"
"flag","en"
"flame","en"
"flat","en"
"flavor","en"
"flee","en"
"flesh","en"
"flight","en"
"float","en"
"floor","en"
"flow","en"
"flower","en"
"focus","en"
"folk","en"
"follow","en"
"following","en"
"food","en"
"foot","en"
"football","en"
"force","en"
"foreign","en"
"forest","en"
"forever","en"
"forget","en"
"form","en"
"formal","en"
"formation","en"
"former","en"
"formula","en"
"forth","en"
"fortune","en"
"forward","en"
"found","en"
"foundation","en"
"founder","en"
"four","en"
"fourth","en"
"frame","en"
"framework","en"
"free","en"
"freedom","en"
"freeze","en"
"French","en"
"frequency","en"
"frequent","en"
"frequently","en"
"fresh","en"
"friend","en"
"friendly","en"
"friendship","en"
"from","en"
"front","en"
"fruit","en"
"frustration","en"
"fuel","en"
"full","en"
"fully","en"
"function","en"
"fund","en"
"fundamental","en"
"funding","en"
"funeral","en"
"funny","en"
"furniture","en"
"furthermore","en"
"future","en"
"gain","en"
"galaxy","en"
"gallery","en"
"game","en"
"gang","en"
"garage","en"
"garden","en"
"garlic","en"
"gate","en"
"gather","en"
"gaze","en"
"gear","en"
"gender","en"
"gene","en"
"general","en"
"generally","en"
"generate","en"
"generation","en"
"genetic","en"
"gentleman","en"
"gently","en"
"German","en"
"gesture","en"
"ghost","en"
"giant","en"
"gift","en"
"gifted","en"
"girl","en"
"girlfriend","en"
"give","en"
"given","en"
"glad","en"
"glance","en"
"glass","en"
"global","en"
"glove","en"
"goal","en"
"gold","en"
"golden","en"
"golf","en"
"good","en"
"government","en"
"governor","en"
"grab","en"
"grade","en"
"gradually","en"
"graduate","en"
"grain","en"
"grand","en"
"grandfather","en"
"grandmother","en"
"grant","en"
"grass","en"
"grave","en"
"gray","en"
"great","en"
"greatest","en"
"green","en"
"grocery","en"
"ground","en"
"group","en"
"grow","en"
"growing","en"
"growth","en"
"guarantee","en"
"guard","en"
"guess","en"
"guest","en"
"guide","en"
"guideline","en"
"guilty","en"
"habit","en"
"habitat","en"
"hair","en"
"half","en"
"hall","en"
"hand","en"
"handful","en"
"handle","en"
"hang","en"
"happen","en"
"happy","en"
"hard","en"
"hardly","en"
"hate","en"
"have","en"
"head","en"
"headline","en"
"headquarters","en"
"health","en"
"healthy","en"
"hear","en"
"hearing","en"
"heart","en"
"heat","en"
"heaven","en"
"heavily","en"
"heavy","en"
"heel","en"
"height","en"
"helicopter","en"
"hell","en"
"hello","en"
"help","en"
"helpful","en"
"here","en"
"heritage","en"
"hero","en"
"herself","en"
"hide","en"
"high","en"
"highlight","en"
"highly","en"
"highway","en"
"hill","en"
"himself","en"
"hire","en"
"historian","en"
"historic","en"
"historical","en"
"history","en"
"hold","en"
"hole","en"
"holiday","en"
"holy","en"
"home","en"
"homeless","en"
"honest","en"
"honey","en"
"honor","en"
"hope","en"
"horizon","en"
"horror","en"
"horse","en"
"hospital","en"
"host","en"
"hotel","en"
"hour","en"
"house","en"
"household","en"
"housing","en"
"however","en"
"huge","en"
"human","en"
"humor","en"
"hundred","en"
"hungry","en"
"hunter","en"
"hunting","en"
"hurt","en"
"husband","en"
"hypothesis","en"
"idea","en"
"ideal","en"
"identification","en"
"identify","en"
"identity","en"
"ignore","en"
"illegal","en"
"illness","en"
"illustrate","en"
"image","en"
"imagination","en"
"imagine","en"
"immediate","en"
"immediately","en"
"immigrant","en"
"immigration","en"
"impact","en"
"implement","en"
"implication","en"
"imply","en"
"importance","en"
"important","en"
"impose","en"
"impossible","en"
"impress","en"
"impression","en"
"impressive","en"
"improve","en"
"improvement","en"
"incentive","en"
"incident","en"
"include","en"
"including","en"
"income","en"
"incorporate","en"
"increase","en"
"increased","en"
"increasing","en"
"increasingly","en"
"incredible","en"
"indeed","en"
"independence","en"
"independent","en"
"index","en"
"Indian","en"
"indicate","en"
"indication","en"
"individual","en"
"industrial","en"
"industry","en"
"infant","en"
"infection","en"
"inflation","en"
"influence","en"
"inform","en"
"information","en"
"ingredient","en"
"initial","en"
"initially","en"
"initiative","en"
"injury","en"
"inner","en"
"innocent","en"
"inquiry","en"
"inside","en"
"insight","en"
"insist","en"
"inspire","en"
"install","en"
"instance","en"
"instead","en"
"institution","en"
"institutional","en"
"instruction","en"
"instructor","en"
"instrument","en"
"insurance","en"
"intellectual","en"
"intelligence","en"
"intend","en"
"intense","en"
"intensity","en"
"intention","en"
"interaction","en"
"interest","en"
"interested","en"
"interesting","en"
"internal","en"
"international","en"
"Internet","en"
"interpret","en"
"interpretation","en"
"intervention","en"
"interview","en"
"into","en"
"introduce","en"
"introduction","en"
"invasion","en"
"invest","en"
"investigate","en"
"investigation","en"
"investigator","en"
"investment","en"
"investor","en"
"invite","en"
"involve","en"
"involved","en"
"involvement","en"
"Iraqi","en"
"Irish","en"
"iron","en"
"Islamic","en"
"island","en"
"Israeli","en"
"issue","en"
"Italian","en"
"item","en"
"itself","en"
"jacket","en"
"jail","en"
"Japanese","en"
"Jewish","en"
"join","en"
"joint","en"
"joke","en"
"journal","en"
"journalist","en"
"journey","en"
"judge","en"
"judgment","en"
"juice","en"
"jump","en"
"junior","en"
"jury","en"
"just","en"
"justice","en"
"justify","en"
"keep","en"
"kick","en"
"kill","en"
"killer","en"
"killing","en"
"kind","en"
"king","en"
"kiss","en"
"kitchen","en"
"knee","en"
"knife","en"
"knock","en"
"know","en"
"knowledge","en"
"label","en"
"labor","en"
"laboratory","en"
"lack","en"
"lady","en"
"lake","en"
"land","en"
"landscape","en"
"language","en"
"large","en"
"largely","en"
"last","en"
"late","en"
"later","en"
"Latin","en"
"latter","en"
"laugh","en"
"launch","en"
"lawn","en"
"lawsuit","en"
"lawyer","en"
"layer","en"
"lead","en"
"leader","en"
"leadership","en"
"leading","en"
"leaf","en"
"league","en"
"lean","en"
"learn","en"
"learning","en"
"least","en"
"leather","en"
"leave","en"
"left","en"
"legacy","en"
"legal","en"
"legend","en"
"legislation","en"
"legitimate","en"
"lemon","en"
"length","en"
"less","en"
"lesson","en"
"letter","en"
"level","en"
"liberal","en"
"library","en"
"license","en"
"life","en"
"lifestyle","en"
"lifetime","en"
"lift","en"
"light","en"
"like","en"
"likely","en"
"limit","en"
"limitation","en"
"limited","en"
"line","en"
"link","en"
"list","en"
"listen","en"
"literally","en"
"literary","en"
"literature","en"
"little","en"
"live","en"
"living","en"
"load","en"
"loan","en"
"local","en"
"locate","en"
"location","en"
"lock","en"
"long","en"
"long-term","en"
"look","en"
"loose","en"
"lose","en"
"loss","en"
"lost","en"
"lots","en"
"loud","en"
"love","en"
"lovely","en"
"lover","en"
"lower","en"
"luck","en"
"lucky","en"
"lunch","en"
"lung","en"
"machine","en"
"magazine","en"
"mail","en"
"main","en"
"mainly","en"
"maintain","en"
"maintenance","en"
"major","en"
"majority","en"
"make","en"
"maker","en"
"makeup","en"
"male","en"
"mall","en"
"manage","en"
"management","en"
"manager","en"
"manner","en"
"manufacturer","en"
"manufacturing","en"
"many","en"
"margin","en"
"mark","en"
"market","en"
"marketing","en"
"marriage","en"
"married","en"
"marry","en"
"mask","en"
"mass","en"
"massive","en"
"master","en"
"match","en"
"material","en"
"math","en"
"matter","en"
"maybe","en"
"mayor","en"
"meal","en"
"mean","en"
"meaning","en"
"meanwhile","en"
"measure","en"
"measurement","en"
"meat","en"
"mechanism","en"
"media","en"
"medical","en"
"medication","en"
"medicine","en"
"medium","en"
"meet","en"
"meeting","en"
"member","en"
"membership","en"
"memory","en"
"mental","en"
"mention","en"
"menu","en"
"mere","en"
"merely","en"
"mess","en"
"message","en"
"metal","en"
"meter","en"
"method","en"
"Mexican","en"
"middle","en"
"might","en"
"military","en"
"milk","en"
"million","en"
"mind","en"
"mine","en"
"minister","en"
"minor","en"
"minority","en"
"minute","en"
"miracle","en"
"mirror","en"
"miss","en"
"missile","en"
"mission","en"
"mistake","en"
"mixture","en"
"mm-hmm","en"
"mode","en"
"model","en"
"moderate","en"
"modern","en"
"modest","en"
"moment","en"
"money","en"
"monitor","en"
"month","en"
"mood","en"
"moon","en"
"moral","en"
"more","en"
"moreover","en"
"morning","en"
"mortgage","en"
"most","en"
"mostly","en"
"mother","en"
"motion","en"
"motivation","en"
"motor","en"
"mount","en"
"mountain","en"
"mouse","en"
"mouth","en"
"move","en"
"movement","en"
"movie","en"
"much","en"
"multiple","en"
"murder","en"
"muscle","en"
"museum","en"
"music","en"
"musical","en"
"musician","en"
"Muslim","en"
"must","en"
"mutual","en"
"myself","en"
"mystery","en"
"myth","en"
"naked","en"
"name","en"
"narrative","en"
"narrow","en"
"nation","en"
"national","en"
"native","en"
"natural","en"
"naturally","en"
"nature","en"
"near","en"
"nearby","en"
"nearly","en"
"necessarily","en"
"necessary","en"
"neck","en"
"need","en"
"negative","en"
"negotiate","en"
"negotiation","en"
"neighbor","en"
"neighborhood","en"
"neither","en"
"nerve","en"
"nervous","en"
"network","en"
"never","en"
"nevertheless","en"
"newly","en"
"news","en"
"newspaper","en"
"next","en"
"nice","en"
"night","en"
"nine","en"
"nobody","en"
"noise","en"
"nomination","en"
"none","en"
"nonetheless","en"
"normal","en"
"normally","en"
"north","en"
"northern","en"
"nose","en"
"note","en"
"nothing","en"
"notice","en"
"notion","en"
"novel","en"
"nowhere","en"
"nuclear","en"
"number","en"
"numerous","en"
"nurse","en"
"object","en"
"objective","en"
"obligation","en"
"observation","en"
"observe","en"
"observer","en"
"obtain","en"
"obvious","en"
"obviously","en"
"occasion","en"
"occasionally","en"
"occupation","en"
"occupy","en"
"occur","en"
"ocean","en"
"odds","en"
"offense","en"
"offensive","en"
"offer","en"
"office","en"
"officer","en"
"official","en"
"often","en"
"okay","en"
"Olympic","en"
"once","en"
"ongoing","en"
"onion","en"
"online","en"
"only","en"
"onto","en"
"open","en"
"opening","en"
"operate","en"
"operating","en"
"operation","en"
"operator","en"
"opinion","en"
"opponent","en"
"opportunity","en"
"oppose","en"
"opposite","en"
"opposition","en"
"option","en"
"orange","en"
"order","en"
"ordinary","en"
"organic","en"
"organization","en"
"organize","en"
"orientation","en"
"origin","en"
"original","en"
"originally","en"
"other","en"
"others","en"
"otherwise","en"
"ought","en"
"ourselves","en"
"outcome","en"
"outside","en"
"oven","en"
"over","en"
"overall","en"
"overcome","en"
"overlook","en"
"owner","en"
"pace","en"
"pack","en"
"package","en"
"page","en"
"pain","en"
"painful","en"
"paint","en"
"painter","en"
"painting","en"
"pair","en"
"pale","en"
"Palestinian","en"
"palm","en"
"panel","en"
"pant","en"
"paper","en"
"parent","en"
"park","en"
"parking","en"
"part","en"
"participant","en"
"participate","en"
"participation","en"
"particular","en"
"particularly","en"
"partly","en"
"partner","en"
"partnership","en"
"party","en"
"pass","en"
"passage","en"
"passenger","en"
"passion","en"
"past","en"
"patch","en"
"path","en"
"patient","en"
"pattern","en"
"pause","en"
"payment","en"
"peace","en"
"peak","en"
"peer","en"
"penalty","en"
"people","en"
"pepper","en"
"perceive","en"
"percentage","en"
"perception","en"
"perfect","en"
"perfectly","en"
"perform","en"
"performance","en"
"perhaps","en"
"period","en"
"permanent","en"
"permission","en"
"permit","en"
"person","en"
"personal","en"
"personality","en"
"personally","en"
"personnel","en"
"perspective","en"
"persuade","en"
"phase","en"
"phenomenon","en"
"philosophy","en"
"phone","en"
"photo","en"
"photograph","en"
"photographer","en"
"phrase","en"
"physical","en"
"physically","en"
"physician","en"
"piano","en"
"pick","en"
"picture","en"
"piece","en"
"pile","en"
"pilot","en"
"pine","en"
"pink","en"
"pipe","en"
"pitch","en"
"place","en"
"plan","en"
"plane","en"
"planet","en"
"planning","en"
"plant","en"
"plastic","en"
"plate","en"
"platform","en"
"play","en"
"player","en"
"please","en"
"pleasure","en"
"plenty","en"
"plot","en"
"plus","en"
"pocket","en"
"poem","en"
"poet","en"
"poetry","en"
"point","en"
"pole","en"
"police","en"
"policy","en"
"political","en"
"politically","en"
"politician","en"
"politics","en"
"poll","en"
"pollution","en"
"pool","en"
"poor","en"
"popular","en"
"population","en"
"porch","en"
"port","en"
"portion","en"
"portrait","en"
"portray","en"
"pose","en"
"position","en"
"positive","en"
"possess","en"
"possibility","en"
"possible","en"
"possibly","en"
"post","en"
"potato","en"
"potential","en"
"potentially","en"
"pound","en"
"pour","en"
"poverty","en"
"powder","en"
"power","en"
"powerful","en"
"practical","en"
"practice","en"
"pray","en"
"prayer","en"
"precisely","en"
"predict","en"
"prefer","en"
"preference","en"
"pregnancy","en"
"pregnant","en"
"preparation","en"
"prepare","en"
"prescription","en"
"presence","en"
"present","en"
"presentation","en"
"preserve","en"
"president","en"
"presidential","en"
"press","en"
"pressure","en"
"pretend","en"
"pretty","en"
"prevent","en"
"previous","en"
"previously","en"
"price","en"
"pride","en"
"priest","en"
"primarily","en"
"primary","en"
"prime","en"
"principal","en"
"principle","en"
"print","en"
"prior","en"
"priority","en"
"prison","en"
"prisoner","en"
"privacy","en"
"private","en"
"probably","en"
"problem","en"
"procedure","en"
"proceed","en"
"process","en"
"produce","en"
"producer","en"
"product","en"
"production","en"
"profession","en"
"professional","en"
"professor","en"
"profile","en"
"profit","en"
"program","en"
"progress","en"
"project","en"
"prominent","en"
"promise","en"
"promote","en"
"prompt","en"
"proof","en"
